Variable_X,Variable_Y,Method,N,Correlation,P_Value,CI_Lower,CI_Upper,Significance,Significance_Text,Effect_Size,R_Squared,Explained_Variance_%,Bonferroni_Adjusted_P,Bonferroni_Significant
Price Range (Volatility),Depression Index,Pearson,551,0.27451825610566505,5.541968773533664e-11,0.19546860631817117,0.350023793927491,***,Highly Significant,Small,0.0753602729352955,7.53602729352955,9.42134691500723e-10,True
S&P 500 Volatility,Depression Index,Pearson,551,0.2668205719250322,1.956661315103531e-10,0.18746689279168086,0.3427140948276928,***,Highly Significant,Small,0.0711932176024013,7.11932176024013,3.3263242356760027e-09,True
S&P 500 Close,Depression Index,Pearson,551,0.14356242257368326,0.000725474161762692,0.06075909947146162,0.22440331621192108,***,Highly Significant,Small,0.0206101691752248,2.06101691752248,0.012333060749965765,True
Stock High Price,Depression Index,Pearson,551,0.1205314970112831,0.004608554184573791,0.03737585656508096,0.20202936788939627,**,Very Significant,Small,0.014527841771780948,1.4527841771780947,0.07834542113775445,False
Stock Open Price,Depression Index,Pearson,551,0.11405608012637423,0.007363247940903863,0.030817741619022943,0.19572330941615312,**,Very Significant,Small,0.0130087894137939,1.30087894137939,0.12517521499536569,False
Stock Close Price,Depression Index,Pearson,551,0.11064655688651796,0.009340404970287623,0.027367552912332036,0.19240024250255025,**,Very Significant,Small,0.012242660550841456,1.2242660550841455,0.1587868844948896,False
Trading Volume,Depression Index,Pearson,551,0.11040018766379586,0.009500081897984488,0.027118322081056197,0.19216004788044963,**,Very Significant,Small,0.012188201436201343,1.2188201436201342,0.1615013922657363,False
Stock Low Price,Depression Index,Pearson,551,0.10453680564099362,0.014088848614053927,0.021189890017876932,0.18644072402283957,*,Significant,Small,0.010927943733622875,1.0927943733622876,0.23951042643891676,False
Price Range,Depression Word Count,Pearson,551,0.07689051980704699,0.07131712457077662,-0.006684361811861936,0.15939868076973798,ns,Not Significant,Negligible,0.005912152036197885,0.5912152036197885,1.2123911177032025,False
S&P 500 Return,Depression Word Count,Pearson,551,-0.07213085109621464,0.0907386212419873,-0.15473051327414228,0.011470208756085759,ns,Not Significant,Negligible,0.005202859679864289,0.5202859679864289,1.5425565611137841,False
Rainfall,Stock Close Price,Pearson,551,-0.028928412490095347,0.4979951491503551,-0.11218926231898238,0.05473580285877471,ns,Not Significant,Negligible,0.0008368530491971044,0.08368530491971045,8.465917535556036,False
Stock Close Price,Depression Word Count,Pearson,551,0.02601466932437133,0.5422800020860891,-0.057642540345518065,0.10930908375970395,ns,Not Significant,Negligible,0.0006767630200563866,0.06767630200563866,9.218760035463514,False
S&P 500 Return,Depression Index,Pearson,551,-0.021106631166208263,0.621042000544757,-0.10445441907314917,0.06253557312927714,ns,Not Significant,Negligible,0.000445489879186354,0.0445489879186354,10.557714009260868,False
Trading Volume,Depression Word Count,Pearson,551,0.01907824712193638,0.6549799166621071,-0.0645565822340165,0.10244693246741825,ns,Not Significant,Negligible,0.0003639795132456738,0.03639795132456738,11.13465858325582,False
Rainfall,S&P 500 Return,Pearson,551,0.016759010324536586,0.694670373113777,-0.06686654620896597,0.10015075719733528,ns,Not Significant,Negligible,0.0002808644270579239,0.02808644270579239,11.809396342934209,False
S&P 500 Volatility,Depression Word Count,Pearson,551,0.01187649585233432,0.7808908331625825,-0.07172661094014897,0.09531388730420143,ns,Not Significant,Negligible,0.00014105115373051432,0.014105115373051431,13.275144163763901,False
Rainfall,Depression Index,Pearson,551,0.005410387741761307,0.8991678328962125,-0.07815688369818091,0.08890215847909093,ns,Not Significant,Negligible,2.9272295516201015e-05,0.0029272295516201015,15.285853159235613,False
