Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-01-01,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,3.3,0.0,3.6,3.3,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,2.8,3.7,2.9,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2014-01-02,8.2,0.3,0.0,0.4,0.0,0.0,4.1,4.0,8.4,4.6,1.4,0.0,4.9,9.2,0.0,0.0,6.2,1.8,1.3,6.5,8.0,0.0,0.0,3.3,4.0,0.0,0.0,0.0,7.8,4.1,0.0,6.7,6.4,0.0,5.7,0.0,0.0,4.0,5.9,10.2,0.1,9.3,0.0,0.0,8.3,8.7,2.3,7.9,0.0,0.1
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,7.5,8.9,3.4,0.0,10.1,0.7,0.0,0.0,0.0,0.1,0.0,0.0,3.2,4.4,8.0,0.0,0.2,0.0,0.0,3.6,0.0,0.0,5.4,9.9,0.0,4.1,0.0,3.6,0.0,0.0,3.5,2.3,9.4,0.0,0.8,0.0,0.0,0.0,2.1,0.2,15.1,1.2,0.0,0.0
2014-01-04,0.0,14.2,0.0,0.0,0.0,7.1,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.4,1.1,0.0,0.0,0.0,0.0,0.0,1.5,1.3,0.0,0.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.9
2014-01-05,3.6,18.7,0.0,7.0,0.0,0.5,0.0,1.4,0.0,0.4,0.0,0.0,13.6,30.3,0.0,4.0,7.2,5.4,0.1,2.8,0.0,16.3,0.0,6.7,12.2,0.2,0.0,0.0,0.3,0.1,0.0,2.8,5.0,0.0,8.1,1.5,0.0,8.5,0.0,1.3,0.0,7.6,0.0,0.0,2.4,5.5,0.0,0.6,0.0,0.4
2014-01-06,0.6,14.7,0.0,0.0,0.0,0.0,15.5,11.3,0.4,1.8,0.3,0.0,0.0,0.2,0.0,0.0,1.0,0.0,19.3,4.8,10.1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,11.7,8.2,0.0,12.5,6.1,0.0,4.1,0.0,0.0,6.8,12.4,1.5,0.0,0.0,0.0,0.0,12.4,1.5,0.0,9.2,0.0,0.0
2014-01-07,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0
2014-01-08,0.0,5.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,18.7,0.0,0.0,0.0,0.0,0.0,3.3,3.6,0.0,0.0,16.4,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.4,0.1,3.5,0.6,0.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6,22.2,0.0,0.0,0.2,0.0,3.3,1.9,5.4,0.0,0.0,15.5,0.0,0.0,0.0
2014-01-10,1.4,0.0,0.0,26.9,0.0,0.0,2.2,7.8,1.1,3.8,0.0,0.0,13.2,9.2,2.3,1.0,0.9,2.7,0.1,12.3,1.2,7.2,0.0,0.2,9.9,0.2,0.8,0.0,1.1,3.0,0.0,3.5,6.9,0.0,3.8,0.0,7.1,1.9,1.4,13.1,0.0,0.9,1.2,1.3,0.6,12.7,21.1,1.6,5.6,0.4
